ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
5260,1929,male,male,Drawings & Prints,,1920,6,6,0,,84,10,78,24
2374,1929,male,male,Drawings & Prints,,1930,32.7,29.9,4,,115,17,313,66
429,1929,male,male,Drawings & Prints,,1940,89.8,77.1,12.7,,63,6,29,8
3197,1929,male,male,Drawings & Prints,,1950,99.1,89.2,9.9,,113,11,37,15
4533,1929,male,male,Drawings & Prints,,1960,153.5,138,15.5,,225,26,48,28
1832,1929,male,male,Drawings & Prints,,1970,102.5,84.5,18,,179,19,329,137
2466,1930,male,male,Painting & Sculpture,,1980,116.1,95,21.1,,109,6,225,80
3697,1930,male,male,Painting & Sculpture,,1990,85.5,62.2,23.3,,218,22,95,36
870,1930,male,male,Drawings & Prints,,2000,177.9,132.6,45.3,,130,19,118,33
6501,1930,male,male,Drawings & Prints,,2010,126.3,89.5,36.8,,144,19,54,26
2726,1930,male,male,Painting & Sculpture,,2020,71.5,21,25,Mean,138,15.5,132.6,45.3
4609,1930,male,male,Drawings & Prints,,,,,,SD,54.04,6.85,114.25,39.04
1537,1931,male,male,Painting & Sculpture,,,,,,,,,,
5065,1931,male,male,Painting & Sculpture,,,m1950,nm1950,m1970,nm1970,m1990,nm1990,m2010,nm2010
5898,1931,male,male,Drawings & Prints,,,39,12,91,13,69,25,75,33
1511,1932,male,male,Drawings & Prints,,,57,7,62,7,59,16,61,40
4038,1932,male,male,Drawings & Prints,,,67,7,61,10,87,30,83,32
1559,1932,male,male,Painting & Sculpture,,,66,9,92,11,81,20,108,36
5453,1932,female,non-male,Photography,,,129,14,104,33,53,19,89,21
6198,1932,male,male,Drawings & Prints,,,52,5,58,17,46,14,167,52
5531,1932,male,male,Drawings & Prints,,,122,6,82,7,45,16,88,37
7166,1932,male,male,Architecture & Design,,,47,6,116,31,55,21,69,42
665,1933,male,male,Drawings & Prints,,,121,18,85,22,75,41,116,42
1777,1933,male,male,Photography,,,192,15,94,29,52,31,39,33
3770,1934,male,male,Drawings & Prints,,,,,,,,,,
2115,1934,male,male,Drawings & Prints,,,,,,,,,,
553,1934,male,male,Drawings & Prints,,,,,,,,,,
3832,1934,male,male,Drawings & Prints,,,,,,,,,,
5824,1934,male,male,Architecture & Design,,,,,,,,,,
2709,1934,male,male,Architecture & Design,,,,,,,,,,
273,1934,female,non-male,Drawings & Prints,,,,,,,,,,
1053,1934,male,male,Drawings & Prints,,,,,,,,,,
4840,1934,male,male,Drawings & Prints,,,,,,,,,,
5383,1934,male,male,Painting & Sculpture,,,,,,,,,,
1364,1934,male,male,Painting & Sculpture,,,,,,,,,,
1106,1934,male,male,Drawings & Prints,,,,,,,,,,
5318,1934,male,male,Drawings & Prints,,,,,,,,,,
1490,1934,male,male,Drawings & Prints,,,,,,,,,,
5358,1934,male,male,Painting & Sculpture,,,,,,,,,,
5654,1934,male,male,Drawings & Prints,,,,,,,,,,
6194,1934,male,male,Painting & Sculpture,,,,,,,,,,
769,1934,male,male,Architecture & Design,,,,,,,,,,
2098,1934,male,male,Drawings & Prints,,,,,,,,,,
6329,1934,male,male,Photography,,,,,,,,,,
5817,1934,male,male,Drawings & Prints,,,,,,,,,,
462,1934,male,male,Painting & Sculpture,,,,,,,,,,
2084,1934,male,male,Painting & Sculpture,,,,,,,,,,
1572,1934,male,male,Drawings & Prints,,,,,,,,,,
738,1934,male,male,Painting & Sculpture,,,,,,,,,,
3332,1934,male,male,Painting & Sculpture,,,,,,,,,,
798,1934,male,male,Drawings & Prints,,,,,,,,,,
1646,1934,male,male,Drawings & Prints,,,,,,,,,,
4268,1934,male,male,Architecture & Design,,,,,,,,,,
3408,1934,female,non-male,Drawings & Prints,,,,,,,,,,
922,1934,male,male,Painting & Sculpture,,,,,,,,,,
3201,1934,female,non-male,Drawings & Prints,,,,,,,,,,
1402,1934,male,male,Painting & Sculpture,,,,,,,,,,
2202,1934,male,male,Drawings & Prints,,,,,,,,,,
6394,1934,male,male,Architecture & Design,,,,,,,,,,
4869,1934,male,male,Drawings & Prints,,,,,,,,,,
1492,1934,male,male,Drawings & Prints,,,,,,,,,,
1396,1934,male,male,Drawings & Prints,,,,,,,,,,
2981,1934,male,male,Drawings & Prints,,,,,,,,,,
1500,1934,male,male,Drawings & Prints,,,,,,,,,,
4514,1935,male,male,Drawings & Prints,,,,,,,,,,
3130,1935,male,male,Drawings & Prints,,,,,,,,,,
617,1935,male,male,Painting & Sculpture,,,,,,,,,,
3259,1935,male,male,Drawings & Prints,,,,,,,,,,
4942,1935,male,male,Drawings & Prints,,,,,,,,,,
3288,1935,male,male,Drawings & Prints,,,,,,,,,,
1412,1935,male,male,Drawings & Prints,,,,,,,,,,
3296,1935,male,male,Drawings & Prints,,,,,,,,,,
796,1935,male,male,Drawings & Prints,,,,,,,,,,
2982,1935,male,male,Painting & Sculpture,,,,,,,,,,
1716,1935,female,non-male,Drawings & Prints,,,,,,,,,,
737,1935,male,male,Drawings & Prints,,,,,,,,,,
4460,1935,male,male,Painting & Sculpture,,,,,,,,,,
2519,1935,male,male,Drawings & Prints,,,,,,,,,,
6165,1935,male,male,Drawings & Prints,,,,,,,,,,
2645,1935,male,male,Drawings & Prints,,,,,,,,,,
2865,1935,male,male,Drawings & Prints,,,,,,,,,,
1701,1935,male,male,Drawings & Prints,,,,,,,,,,
1418,1935,male,male,Drawings & Prints,,,,,,,,,,
3276,1935,male,male,Drawings & Prints,,,,,,,,,,
3356,1935,male,male,Drawings & Prints,,,,,,,,,,
3852,1935,male,male,Drawings & Prints,,,,,,,,,,
3716,1935,male,male,Photography,,,,,,,,,,
